Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,p9.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.p9.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.p9.sentiance.com.txt
http,80,firehose.h11.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.firehose.h11.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.firehose.h11.sentiance.com.txt
http,80,www.firehose.h11.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.firehose.h11.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.firehose.h11.sentiance.com.txt
http,80,preprod-aaquita-api.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.preprod-aaquita-api.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.preprod-aaquita-api.sentiance.com.txt
http,80,r10.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.r10.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.r10.sentiance.com.txt
http,80,r10.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.r10.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.r10.sentiance.com.txt
http,80,firehose.p9.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.firehose.p9.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.firehose.p9.sentiance.com.txt
http,80,www.firehose.p9.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.firehose.p9.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.firehose.p9.sentiance.com.txt
http,80,preprod-aaquita-cdn.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.preprod-aaquita-cdn.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.preprod-aaquita-cdn.sentiance.com.txt
http,80,journeysbe.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.journeysbe.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.journeysbe.sentiance.com.txt
